Designator,Mid X,Mid Y,Layer,Rotation
C1,88.250000,-52.575000,top,90.000000
C2,98.250000,-52.550000,top,90.000000
C3,108.300000,-52.575000,top,90.000000
C4,118.250000,-52.750000,top,90.000000
C5,128.250000,-52.700000,top,90.000000
C6,138.200000,-52.750000,top,90.000000
C7,148.200000,-52.750000,top,90.000000
C8,158.150000,-52.750000,top,90.000000
C9,168.300000,-52.650000,top,90.000000
C10,178.200000,-52.600000,top,90.000000
C11,78.200000,-52.725000,top,90.000000
C12,147.175000,-128.700000,top,0.000000
C13,151.250000,-128.750000,top,0.000000
C14,143.800000,-124.725000,top,90.000000
C15,157.100000,-121.050000,top,270.000000
C16,143.800000,-120.650000,top,90.000000
C17,172.050000,-117.875000,top,90.000000
C18,124.575000,-119.750000,top,180.000000
D1,83.200000,-52.600000,top,180
D2,93.200000,-52.600000,top,180
D3,103.200000,-52.600000,top,180
D4,113.200000,-52.600000,top,180
D5,123.200000,-52.600000,top,180
D6,133.200000,-52.600000,top,180
D7,143.200000,-52.600000,top,180
D8,153.200000,-52.600000,top,180
D9,163.200000,-52.600000,top,180
D10,173.200000,-52.600000,top,180
U1,150.450000,-122.900000,top,0
U2,124.450000,-113.100000,top,270